Ștefan-Ovidiu Popa;1985-06-25;2;'';'Ștefan-Ovidiu Popa';'254';'PSD';'{"2024": 2, "2020": 2, "2016": 2}'
Antonio-Gabi Popescu;;2;'';'';'255';'AUR';'{}'
Florin-Cornel Popovici;;2;'';'';'256';'AUR';'{}'
Gabriela Porumboiu;;2;'';'';'257';'POT';'{}'
Ionelia-Florența Priescu;;2;'';'';'258';'AUR';'{}'
Răzvan Sorin Prișcă;1987-06-15;2;'';'Răzvan Sorin Prișcă';'259';'PNL';'{"2024": 2, "2020": 2, "2016": 2}'
Cristina-Mădălina Prună;1984-12-11;2;'';'Cristina-Mădălina Prună';'260';'USR';'{"2024": 2, "2020": 2, "2016": 2}'
Lucian-Florin Pușcașu;1969-03-12;2;'';'Lucian-Florin Pușcașu';'261';'AUR';'{"2024": 2, "2020": 2}'
Petre Pușcașu;1971-03-06;2;'';'';'262';'AUR';'{"2024": 2, "2020": 2}'
Fabian-Cristian Radu;;2;'';'';'263';'AUR';'{}'
Alexandru Rafila;1961-12-27;2;'';'Alexandru Rafila';'264';'PSD';'{"2024": 2, "2020": 2}'
Sebastian Răducanu;1981-06-19;2;'';'Sebastian Răducanu';'265';'PSD';'{"2024": 2, "2020": 1}'
Gheorghe-Valentin Răducea;;2;'';'';'266';'POT';'{}'
Ciprian-Doru Rigman;;2;'';'';'267';'USR';'{}'
Ana-Smaranda Rinder;;2;'';'';'268';'PSD';'{}'
Bogdan-Ionel Rodeanu;1980-07-18;2;'';'Bogdan-Ionel Rodeanu';'269';'USR';'{"2024": 2, "2020": 2, "2016": 2}'
Alexandru-Florin Rogobete;;2;'';'';'270';'PSD';'{}'
Florin-Claudiu Roman;1974-04-22;2;'';'Florin-Claudiu Roman';'271';'PNL';'{"2024": 2, "2020": 2, "2016": 2}'
Mircea Roșca;1974-02-25;2;'';'Mircea Roșca';'272';'PNL';'{"2024": 2, "2020": 2, "2012": 2}'
Sebastian-Mihai Rusu;;2;'';'';'273';'PNL';'{}'
Ion Samoilă;;2;'';'';'274';'PSD';'{}'
Viorica Sandu;1962-04-24;2;'';'Viorica Sandu';'275';'PSD';'{"2024": 2, "2020": 2}'
George Scarlat;1979-05-05;2;'';'George Scarlat';'276';'PNL';'{"2024": 2, "2020": 1, "2012": 2}'
Seres Dénes;1953-07-21;2;'';'Seres Dénes';'277';'UDMR';'{"2024": 2, "2020": 2, "2016": 2, "2012": 2, "2008": 2, "2004": 2, "2000": 1, "1996": 1, "1992": 1}'
Robert-Ionatan Sighiartău;1989-03-15;2;'';'Robert-Ionatan Sighiartău';'278';'PNL';'{"2024": 2, "2020": 2, "2016": 2}'
George-Nicolae Simion;1986-09-21;2;'';'George-Nicolae Simion';'279';'AUR';'{"2024": 2, "2020": 2}'
Aurora-Tasica Simu;;2;'';'';'280';'POT';'{}'
Adrian Solomon;1977-09-20;2;'';'Adrian Solomon';'281';'PSD';'{"2024": 2, "2020": 2, "2016": 2, "2012": 2, "2008": 2}'
Ionel Stancu;1978-10-15;2;'';'Ionel Stancu';'282';'';'{"2024": 2, "2020": 2, "2012": 2}'
Vetuța Stănescu;1969-09-29;2;'';'Vetuța Stănescu';'283';'PNL';'{"2024": 2, "2020": 2}'
Irina-Florentina Stoenică;;2;'';'';'284';'PSD';'{}'
