Alexandru Nazare;1980-06-25;2;"9 Brăila, colegiul uninominal nr.2";"Alexandru Nazare";"243"
Cosmin Necula;1978-08-13;2;"4 Bacău, colegiul uninominal nr.2";"";"246"
Cornelia Negruț;1961-05-10;2;"26 Maramureș, colegiul uninominal nr.6";"";"248"
Gheorghe Nețoiu;1959-08-01;2;"17 Dolj, colegiul uninominal nr.1";"Gheorghe Nețoiu";"249"
Cristina Nichita;1965-12-18;2;"24 Iași, colegiul uninominal nr.9";"Cristina Nichita";"252"
Florian Nicolae;1960-12-14;2;"19 Giurgiu, colegiul uninominal nr.1";"";"255"
Theodor-Cătălin Nicolescu;1975-02-03;2;"3 Argeș, colegiul uninominal nr.4";"";"257"
Aurel Niculae;1957-09-19;2;"12 Călărași, colegiul uninominal nr.4";"Aurel Niculae";"259"
Dumitru Niculescu;1962-10-22;2;"30 Olt, colegiul uninominal nr.5";"";"260"
Gheorghe-Vlad Nistor;1954-07-25;2;"42 București, colegiul uninominal nr.1";"";"263"
Marioara Nistor;1955-01-13;2;"9 Brăila, colegiul uninominal nr.3";"";"265"
Emil Niță;1956-01-15;2;"8 Brașov, colegiul uninominal nr.5";"";"267"
Ion Ochi;1964-03-02;2;"8 Brașov, colegiul uninominal nr.2";"";"270"
Nechita-Adrian Oros;1965-07-09;2;"13 Cluj, colegiul uninominal nr.1";"";"273"
Adriana-Doina Pană;1957-05-16;2;"";"Adriana-Doina Pană";"278"
Maria-Andreea Paul;1978-09-10;2;"";"";"280"
Ninel Peia;1969-10-07;2;"25 Ilfov, colegiul uninominal nr.2";"";"284"
Adrian-Alin Petrache;1976-10-29;2;"42 București, colegiul uninominal nr.15";"Adrian-Alin Petrache";"285"
Dorin Silviu Petrea;1978-02-02;2;"9 Brăila, colegiul uninominal nr.1";"";"286"
Octavian Petric;1961-10-01;2;"";"";"288"
Eusebiu-Manea Pistru-Popa;1966-05-25;2;"2 Arad, colegiul uninominal nr.5";"";"289"
Gabriela-Maria Podașcă;1985-05-03;2;"42 București, colegiul uninominal nr.14";"";"292"
Radu Mihai Popa;1976-11-16;2;"16 Dâmbovița, colegiul uninominal nr.4";"";"296"
Dan-Cristian Popescu;1975-12-31;2;"42 București, colegiul uninominal nr.8";"";"298"
Dumitru-Iulian Popescu;1962-06-19;2;"42 București, colegiul uninominal nr.5";"";"299"
Iacob Pușcaș;1977-01-18;2;"34 Sibiu, colegiul uninominal nr.4";"";"304"
Ovidiu Alexandru Raețchi;1979-09-15;2;"43 Diaspora, colegiul uninominal nr.4";"Ovidiu Alexandru Raețchi";"305"
Ion Răducanu;1949-06-24;2;"37 Timiș, colegiul uninominal nr.4";"Ion Răducanu";"306"
Constantin Rădulescu;1976-01-17;2;"40 Vâlcea, colegiul uninominal nr.2";"Constantin Rădulescu";"308"
Romeo Rădulescu;1972-11-29;2;"40 Vâlcea, colegiul uninominal nr.1";"";"309"
Cristian-Constantin Roman;1965-07-02;2;"7 Botoșani, colegiul uninominal nr.5";"";"313"
Victor Roman;1959-11-01;2;"41 Vrancea, colegiul uninominal nr.6";"Victor Roman";"317"
Mircea Roșca;1974-02-25;2;"31 Prahova, colegiul uninominal nr.1";"Mircea Roșca";"319"
Răzvan Rotaru;1977-07-03;2;"20 Gorj, colegiul uninominal nr.1";"";"320"
Cornel-Mircea Sămărtinean;1967-12-02;2;"37 Timiș, colegiul uninominal nr.1";"Cornel-Mircea Sămărtinean";"324"
Ionuț-Cristian Săvoiu;1968-10-08;2;"16 Dâmbovița, colegiul uninominal nr.7";"";"326"
George Scarlat;1979-05-05;2;"18 Galați, colegiul uninominal nr.3";"George Scarlat";"327"
Valeria-Diana Schelean;1981-03-24;2;"";"Valeria-Diana Schelean";"328"
Florin Mihail Secară;1970-08-11;2;"41 Vrancea, colegiul uninominal nr.6";"Florin Mihail Secară";"330"
Cristian-George Sefer;1970-03-17;2;"28 Mureș, colegiul uninominal nr.6";"";"331"
Adrian Constantin Simionescu;1965-06-25;2;"36 Teleorman, colegiul uninominal nr.2";"Adrian Constantin Simionescu";"335"
Miron Alexandru Smarandache;1960-03-17;2;"4 Bacău, colegiul uninominal nr.7";"";"336"
Ionel Stancu;1978-10-15;2;"";"";"342"
Alexandru Stănescu;1961-12-06;2;"30 Olt, colegiul uninominal nr.7";"Alexandru Stănescu";"344"
Ștefan-Bucur Stoica;1977-07-29;2;"17 Dolj, colegiul uninominal nr.8";"Ștefan-Bucur Stoica";"348"
Mihai-Răzvan Sturzu;1979-10-03;2;"42 București, colegiul uninominal nr.24";"Mihai-Răzvan Sturzu";"352"
Vasile-Daniel Suciu;1980-11-07;2;"";"";"353"
